city_name;UF;ibge_cod;GADM_GID_2;pop_2020;MHDI_tot;MHDI_long;MHDI_edu;MHDI_inc;SVI_tot;SVI_inf;SVI_hum;SVI_wrk;MHDI_quantiles;;MHDI quartiles;;SVI quartiles;
Presidente Vargas/MA;MA;2109304;BRA.10.154_1; 11.261 ;0,587;0,47;0,768;0,56;0,659;0,811;0,585;0,58; 0,192 ;;;;;
Presidente Juscelino/MA;MA;2109205;BRA.10.151_1; 12.838 ;0,563;0,452;0,743;0,532;0,658;0,759;0,628;0,586; 0,101 ;;;;;
Inajá/PE;PE;2607000;BRA.17.76_1; 23.645 ;0,523;0,503;0,711;0,4;0,656;0,584;0,786;0,597; 0,021 ;;;;;
Jatobá/MA;MA;2105450;BRA.10.94_1; 10.310 ;0,561;0,522;0,702;0,481;0,655;0,722;0,62;0,623; 0,092 ;;;;;
Araçoiaba/PE;PE;2601052;BRA.17.12_1; 20.733 ;0,592;0,544;0,765;0,498;0,655;0,846;0,536;0,583; 0,214 ;;;;;
Lábrea/AM;AM;1302405;BRA.4.34_1; 46.882 ;0,531;0,538;0,744;0,374;0,654;0,552;0,788;0,623; 0,030 ;;;;;
Bom Jesus das Selvas/MA;MA;2102036;BRA.10.35_1; 34.567 ;0,558;0,537;0,751;0,431;0,654;0,652;0,711;0,598; 0,084 ;;;;;
Setubinha/MG;MG;3165552;BRA.13.793_1; 12.378 ;0,542;0,536;0,743;0,4;0,653;0,821;0,616;0,523; 0,046 ;;;;;
Peritoró/MA;MA;2108454;BRA.10.142_1; 23.364 ;0,564;0,499;0,774;0,464;0,652;0,614;0,666;0,677; 0,104 ;;;;;
Apicum-Açu/MA;MA;2100832;BRA.10.14_1; 17.413 ;0,568;0,529;0,718;0,483;0,652;0,931;0,535;0,491; 0,119 ;;;;;
São João do Araguaia/PA;PA;1507508;BRA.14.125_1; 14.051 ;0,55;0,53;0,741;0,424;0,65;0,719;0,662;0,568; 0,064 ;;;;;
Matões/MA;MA;2106607;BRA.10.116_1; 33.943 ;0,55;0,519;0,739;0,434;0,648;0,717;0,651;0,577; 0,064 ;;;;;
Lamarão/BA;BA;2919108;BRA.5.230_1; 8.191 ;0,518;0,501;0,747;0,372;0,648;0,545;0,646;0,754; 0,016 ;;;;;
Tonantins/AM;AM;1304237;BRA.4.57_1; 18.897 ;0,548;0,508;0,779;0,416;0,644;0,746;0,67;0,515; 0,057 ;;;;;
Jacareacanga/PA;PA;1503754;BRA.14.60_1; 7.590 ;0,505;0,577;0,8;0,279;0,644;0,735;0,683;0,513; 0,008 ;;;;;
São Vicente Ferrer/MA;MA;2111706;BRA.10.194_1; 22.350 ;0,592;0,504;0,762;0,541;0,644;0,731;0,586;0,614; 0,214 ;;;;;
Cuité de Mamanguape/PB;PB;2505238;BRA.15.67_1; 6.356 ;0,524;0,529;0,683;0,398;0,644;0,559;0,683;0,691; 0,021 ;;;;;
Arame/MA;MA;2100956;BRA.10.17_1; 32.764 ;0,512;0,525;0,701;0,365;0,643;0,566;0,75;0,612; 0,012 ;;;;;
Assunção do Piauí/PI;PI;2201051;BRA.18.15_1; 7.863 ;0,499;0,462;0,706;0,382;0,643;0,542;0,668;0,72; 0,005 ;;;;;
Raposa/MA;MA;2109452;BRA.10.156_1; 31.177 ;0,626;0,568;0,735;0,587;0,642;0,87;0,548;0,507; 0,355 ;;;;;
Faro/PA;PA;1503002;BRA.14.48_1; 7.070 ;0,563;0,501;0,756;0,47;0,641;0,854;0,591;0,479; 0,101 ;;;;;
Eldorado do Carajás/PA;PA;1502954;BRA.14.47_1; 33.940 ;0,56;0,572;0,757;0,405;0,641;0,718;0,648;0,557; 0,089 ;;;;;
Santa Luzia/MA;MA;2110005;BRA.10.165_1; 72.887 ;0,55;0,525;0,7;0,452;0,64;0,679;0,669;0,571; 0,064 ;;;;;
Morros/MA;MA;2107100;BRA.10.123_1; 19.572 ;0,548;0,485;0,706;0,48;0,64;0,675;0,62;0,626; 0,057 ;;;;;
São João do Soter/MA;MA;2111078;BRA.10.182_1; 18.645 ;0,517;0,486;0,711;0,401;0,64;0,642;0,664;0,613; 0,015 ;;;;;
Novo Lino/AL;AL;2705606;BRA.2.59_1; 12.764 ;0,521;0,546;0,69;0,375;0,64;0,527;0,817;0,576; 0,019 ;;;;;
Feijó/AC;AC;1200302;BRA.1.8_1; 34.884 ;0,539;0,559;0,723;0,388;0,639;0,511;0,799;0,607; 0,040 ;;;;;
Floresta do Araguaia/PA;PA;1503044;BRA.14.49_1; 20.525 ;0,583;0,573;0,792;0,437;0,639;0,699;0,622;0,596; 0,175 ;;;;;
Trairão/PA;PA;1508050;BRA.14.136_1; 19.168 ;0,562;0,594;0,763;0,392;0,639;0,804;0,622;0,49; 0,096 ;;;;;
Godofredo Viana/MA;MA;2104305;BRA.10.75_1; 11.963 ;0,604;0,537;0,75;0,546;0,639;0,834;0,554;0,53; 0,266 ;;;;;
Serrano do Maranhão/MA;MA;2111789;BRA.10.198_1; 10.299 ;0,519;0,44;0,735;0,433;0,639;0,569;0,722;0,626; 0,017 ;;;;;
Oeiras do Pará/PA;PA;1505205;BRA.14.83_1; 32.850 ;0,507;0,502;0,754;0,344;0,637;0,683;0,585;0,642; 0,010 ;;;;;
Andaraí/BA;BA;2901304;BRA.5.14_1; 13.132 ;0,555;0,54;0,764;0,415;0,637;0,535;0,597;0,779; 0,075 ;;;;;
Japurá/AM;AM;1302108;BRA.4.31_1; 2.251 ;0,522;0,552;0,748;0,345;0,636;0,573;0,743;0,591; 0,020 ;;;;;
Olinda Nova do Maranhão/MA;MA;2107456;BRA.10.129_1; 14.836 ;0,575;0,495;0,724;0,531;0,635;0,716;0,612;0,577; 0,144 ;;;;;
Nova Esperança do Piriá/PA;PA;1504950;BRA.14.77_1; 21.444 ;0,502;0,482;0,757;0,346;0,634;0,603;0,736;0,564; 0,006 ;;;;;
Mirador/MA;MA;2106706;BRA.10.118_1; 21.031 ;0,545;0,485;0,74;0,451;0,634;0,644;0,659;0,599; 0,051 ;;;;;
Joselândia/MA;MA;2105609;BRA.10.97_1; 16.198 ;0,561;0,533;0,743;0,445;0,634;0,766;0,603;0,534; 0,092 ;;;;;
São João de Pirabas/PA;PA;1507474;BRA.14.124_1; 23.244 ;0,539;0,529;0,753;0,393;0,633;0,638;0,635;0,625; 0,040 ;;;;;
Pacajá/PA;PA;1505486;BRA.14.87_1; 48.414 ;0,515;0,541;0,746;0,338;0,633;0,643;0,71;0,547; 0,014 ;;;;;
Cajari/MA;MA;2102507;BRA.10.45_1; 19.451 ;0,523;0,456;0,747;0,421;0,633;0,653;0,66;0,586; 0,021 ;;;;;
Roteiro/AL;AL;2707800;BRA.2.83_1; 6.649 ;0,505;0,524;0,672;0,365;0,633;0,589;0,74;0,57; 0,008 ;;;;;
Boa Vista do Tupim/BA;BA;2903805;BRA.5.46_1; 18.531 ;0,551;0,514;0,729;0,447;0,633;0,604;0,598;0,698; 0,066 ;;;;;
Barcelos/AM;AM;1300409;BRA.4.8_1; 27.638 ;0,5;0,545;0,728;0,315;0,631;0,446;0,812;0,635; 0,005 ;;;;;
Itupiranga/PA;PA;1503705;BRA.14.59_1; 53.355 ;0,528;0,543;0,746;0,364;0,631;0,571;0,722;0,599; 0,026 ;;;;;
Centro do Guilherme/MA;MA;2103158;BRA.10.55_1; 13.670 ;0,542;0,51;0,707;0,442;0,631;0,755;0,673;0,464; 0,046 ;;;;;
Buriticupu/MA;MA;2102325;BRA.10.41_1; 72.983 ;0,556;0,533;0,708;0,455;0,631;0,671;0,664;0,558; 0,078 ;;;;;
Josenópolis/MG;MG;3136579;BRA.13.420_1; 4.889 ;0,564;0,541;0,782;0,424;0,631;0,59;0,628;0,674; 0,104 ;;;;;
